Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0.104825974,1.04,-0.05,0.06,-5.74,-2.81,7.32,32.95,39.42,5.59,RUN
0.105826855,0.99,-0.01,0.07,-12.76,-2.5,-1.46,33.64,38.62,5.41,RUN
0.105826855,0.99,-0.02,0.08,-2.14,-1.28,-0.85,33.91,38.35,5.04,RUN
0.106825352,1,-0.02,0.08,2.26,-1.4,-5.25,32.68,38.34,5.76,RUN
0.107825041,1,-0.02,0.08,6.59,-0.67,-2.81,32.73,38.88,4.49,RUN
0.107825041,1,-0.03,0.08,3.11,0.37,-1.83,32.96,39.39,5.14,RUN
0.108825207,1,-0.05,0.11,-1.53,3.05,-1.53,33.11,39.16,6.45,RUN
0.108825207,1.01,-0.02,0.06,-9.09,-1.77,-1.04,33.03,39.56,4.65,RUN
0.110408545,1.01,-0.02,0.07,-8.42,-1.71,2.69,32.9,39.53,4.66,RUN
0.110408545,1.01,-0.05,0.08,-6.47,-4.64,4.76,33.44,38.61,3.26,RUN
0.111332893,0.99,0.03,0.09,-11.23,-8.42,-2.26,33.09,37.93,4.41,RUN
0.112332582,0.99,0,0.12,-2.75,-5.92,1.95,32.6,37.76,3.8,RUN
0.112332582,0.98,0,0.12,-0.37,-3.05,1.04,32.47,38.01,2.66,RUN
0.113332987,0.99,0,0.13,-4.58,-0.06,0.49,33.03,38.02,2.87,RUN
0.113332987,1,0.01,0.13,-4.52,1.1,0.37,33.02,37.4,2.59,RUN
0.114332438,0.99,0.01,0.12,-4.03,2.01,-1.71,33.18,37.51,1.59,RUN
0.115332603,1,0.01,0.11,-3.91,3.23,-2.26,33.36,37.52,3.03,RUN
0.115332603,0.99,0.01,0.1,1.89,3.42,-1.65,32.87,37.71,2.7,RUN
0.116332293,1,0,0.08,3.72,-2.14,-0.49,33.81,37.96,3.32,RUN
0.116332293,0.99,-0.02,0.11,4.46,-7.93,3.11,33.08,37.34,2.75,RUN
0.11733222,1,0.05,0.11,10.62,-2.01,-0.85,32.76,38.07,2.32,RUN
0.118332386,1,0.02,0.1,14.77,-2.99,-2.56,33.01,38.34,2.78,RUN
0.118332386,0.99,-0.01,0.13,10.5,-0.79,0.24,33.06,39.1,3.19,RUN
