Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0.111940861,1.2,-0.08,-0.07,2.32,1.46,12.27,33.07,21.55,42.61,STAND
0.111940861,0.86,-0.05,-0.21,0.43,-2.56,-7.08,33.23,21.46,42.76,STAND
0.112956285,1.05,-0.09,-0.21,7.63,13.31,-0.61,32.4,21.42,43.23,STAND
0.112956285,0.94,-0.06,-0.14,4.03,-4.7,-2.81,32.04,21.22,44.04,STAND
0.113956451,0.98,-0.06,-0.12,-2.62,-6.84,0.31,31.99,21.01,43.31,STAND
0.113956451,0.97,-0.07,-0.08,-10.74,-4.76,-2.75,32.65,21.19,42.76,STAND
0.114957571,1,-0.04,-0.02,-5.86,-7.2,-2.38,32.47,22.51,42.68,STAND
0.114957571,1.09,-0.12,-0.03,-8.06,1.1,-0.06,33,22.52,43.65,STAND
0.115945816,0.97,-0.16,-0.11,-4.82,-1.28,-9.16,31.98,23.66,42.37,STAND
0.115945816,0.97,-0.19,-0.2,-31.01,4.88,0.49,32.18,24.5,42.55,STAND
0.117466211,1.07,-0.06,-0.06,-6.41,5.07,-3.17,31.15,27.17,43.18,STAND
0.117466211,0.91,-0.16,-0.12,0.24,-7.45,5.74,31.53,26.48,41,STAND
0.118496656,0.95,-0.09,-0.08,-10.8,7.45,5,31.99,26.29,43.43,STAND
0.118496656,0.99,-0.08,-0.06,-9.83,3.66,11.05,31.87,26.04,41.09,STAND
0.119495392,1.01,-0.07,-0.08,4.21,-3.85,2.87,31.52,25.71,41.74,STAND
0.120495558,1.14,-0.04,-0.03,1.53,4.09,16.66,32.06,24.91,41.66,STAND
0.120495558,0.96,-0.11,-0.1,-9.83,1.34,9.34,33.06,23.88,42.63,STAND
0.121495485,0.89,0.01,-0.22,-3.11,7.81,-3.23,33.12,24.35,41.87,STAND
0.121495485,1.07,0.01,-0.27,21.67,8.3,-4.64,32.03,23.95,42.4,STAND
0.122503519,0.94,-0.03,-0.18,1.04,-6.29,-2.62,32.01,23.56,42.58,STAND
0.122503519,1.01,0.02,0.08,3.66,4.03,-5.07,33.72,40.32,14.21,STAND
0.213224649,1.01,0,0.07,5,9.16,-5.62,33.47,40.42,14.73,STAND
0.321898222,1,0,0.04,8.18,9.77,-6.04,33.24,40.37,15.95,STAND
0.432121038,1.02,-0.01,0.03,9.52,11.72,-4.21,32.56,41.35,17.32,STAND
0.542646408,1.01,-0.01,0.01,8.91,4.64,-6.71,32.17,41.88,18.87,STAND
0.653706789,0.98,-0.05,0.01,5.43,8.48,-5.62,32.45,42.04,19.54,STAND
0.763812542,0.97,-0.09,0,2.75,7.87,-6.29,32.65,42.53,18.9,STAND
0.872989178,1,-0.19,-0.08,-6.41,23.19,-5.19,31.77,42.83,19.41,STAND
0.982631683,1.1,-0.15,-0.12,-9.58,0.92,-1.71,31.01,43.44,21.37,STAND
1.092025757,0.94,-0.11,-0.03,11.9,-13.98,14.28,31.19,43.23,20.63,STAND
1.2026546,0.96,-0.26,-0.01,26.86,3.54,11.9,32.14,40.98,21.55,STAND
1.310924768,1.06,-0.06,-0.15,6.1,-4.88,3.42,32.52,40.47,23.12,STAND
1.420692682,0.93,0.06,-0.05,23.74,11.47,19.65,32.34,39.61,23.78,STAND
1.530272007,1.01,0.21,-0.11,16.48,-0.61,6.04,32.23,37.56,25.01,STAND
1.639398336,1.01,0.16,-0.07,29.66,-1.53,4.39,32.69,37.3,25.26,STAND
1.748236656,0.96,0.16,-0.08,2.99,-10.86,-0.18,33.22,35.82,25.46,STAND
1.858328819,1.03,0.05,-0.02,3.17,-1.16,-6.71,33.02,35.94,26.18,STAND
1.968314171,0.97,0.04,-0.07,10.74,-7.08,-4.21,33.7,35.89,26.1,STAND
2.078500509,1.01,0.02,-0.02,1.28,-3.48,-7.45,33.62,35.97,25.85,STAND
2.187805653,1.01,0.01,-0.02,-2.38,-9.58,-4.52,32.8,36.79,26.39,STAND
2.297791243,1,0.01,-0.01,-7.08,-10.56,-3.66,33.39,37.26,24.91,STAND
2.408267021,1.02,0.02,0.02,-8.54,-8.48,-5.19,33.29,37.73,23.99,STAND
2.51669693,0.96,0,0.06,-4.33,-4.82,2.75,32.97,38.07,23.5,STAND
2.62756896,1.05,-0.02,0.05,-13,-13.31,-4.09,32.76,38.55,22.12,STAND
2.736400127,0.97,0.01,0.13,-10.86,-9.09,-2.56,33.19,38.82,20.48,STAND
2.847516537,1.03,-0.01,0.14,-3.6,-7.93,-0.55,33.24,38.54,20.19,STAND
2.95731616,0.96,0,0.15,2.2,3.3,-1.59,32.82,38.76,19.47,STAND
3.067393541,0.98,0.11,0.09,0.12,-1.89,0.12,32.73,38.93,20.23,STAND
3.176121712,1.01,0.07,0.13,-13.73,-5.49,-3.3,32.81,39.5,19.64,STAND
3.287479162,0.97,0.07,0.11,-30.64,-7.08,-7.57,33.03,39.56,17.4,STAND
3.396653175,0.93,0.04,0.11,-18.92,4.15,-13.18,32.56,40.33,15.86,STAND
3.505723,0.97,-0.14,0.14,0.61,-6.47,-11.35,31.91,41.75,16.39,STAND
3.615410805,1.04,-0.14,0.15,-6.65,-10.25,-8.61,31.32,42.26,15.72,STAND
3.725431204,0.96,-0.19,0.2,11.41,-16.48,3.17,31.74,42.61,14.28,STAND
3.835757732,0.95,-0.16,0.16,20.63,-15.63,19.96,31.95,42.79,13.93,STAND
3.94732666,0.95,-0.07,0.3,-6.59,-13.24,23.62,33.44,40.14,14.79,STAND
4.057448864,0.99,-0.05,0.24,-29.42,0.67,11.66,33.76,39.78,11.66,STAND
4.166991949,0.89,0.08,0.25,-30.09,-10.74,3.91,33.48,39.43,11.49,STAND
4.277140379,1,0.09,0.29,-14.53,3.05,6.47,33.33,38.17,10.68,STAND
4.386426449,0.97,0.14,0.22,-6.29,-1.46,1.71,33.69,37.98,9.86,STAND
4.49600172,0.92,0.11,0.3,8.18,-14.16,3.36,34.07,38.01,8.37,STAND
4.605341673,0.91,0.05,0.34,-0.49,3.48,-4.09,33.87,38.18,8.7,STAND
4.71676302,0.97,0.2,0.42,18.8,5,-18.19,33.72,39.48,10.25,STAND
4.826714039,1,0.02,0.22,19.23,3.42,0.31,33.2,39.42,10.86,STAND
4.935051203,0.96,0.06,0.27,15.93,2.69,6.65,34,40.33,13.4,STAND
5.044109344,0.97,0.01,0.25,14.53,-0.24,-1.1,34.11,38.81,12.52,STAND
5.154733181,0.92,0,0.25,4.39,7.69,-6.71,33.75,39.53,13.06,STAND
5.264097452,0.93,0.04,0.23,-9.95,23.8,-18.01,33.78,40.61,14.27,STAND
5.374299288,0.89,0.01,0.02,-5.19,14.89,-16.66,32.84,42.07,15.05,STAND
5.484692574,1.06,-0.1,0.14,-19.71,27.34,0.49,32.21,42.42,15.98,STAND
5.594048977,0.94,-0.12,0.08,-6.9,1.04,7.75,32.47,42.41,17.42,STAND
5.703847647,1.11,-0.03,0.12,8.06,-11.17,9.16,32.92,41.39,16.55,STAND
5.813704252,0.84,-0.02,0.03,-2.14,4.82,26.73,33.73,39.54,14.64,STAND
5.923650742,1.17,0.21,0.1,-5.49,11.41,9.03,34.66,38.27,16.83,STAND
6.032008886,0.92,0.08,0.06,-22.46,-3.48,-13.85,34.84,38.2,15.86,STAND
6.141660452,1.01,0.24,0.04,-22.77,-1.83,-6.16,33.4,39.62,15.2,STAND
6.250780821,1,-0.05,0.09,-2.56,-2.81,0.31,34.18,38.71,14.62,STAND
6.360561848,0.98,0.01,0.02,4.88,1.4,-5.37,34.35,38.85,13.5,STAND
6.470105648,1.05,-0.07,0.05,-3.3,-8.24,-4.52,34.62,39.55,12.67,STAND
6.580012798,0.98,-0.03,0.07,-11.72,-14.22,-2.44,34.11,40.39,13.46,STAND
6.690776825,0.93,0,0.08,-1.34,0.67,-1.95,33.63,39.99,12.28,STAND
6.801070213,1.05,0.01,0.12,-1.71,-8.48,0.24,33.25,39.97,12.21,STAND
6.910964727,0.93,0.02,0.11,3.11,-1.34,1.04,33.67,39.99,11.46,STAND
7.021039963,1.05,-0.02,0.12,1.65,-6.59,0.06,33.47,39.89,10.72,STAND
7.131403923,0.96,0.02,0.14,-1.65,-2.08,1.59,33.58,39.66,10.61,STAND
7.241216183,0.98,0.03,0.14,-3.05,-4.21,0.49,33.61,39.87,10.84,STAND
7.351198196,1.03,0.05,0.18,-6.35,-0.49,0,33.42,40.28,10.75,STAND
7.46236515,0.95,0.02,0.16,0.61,-0.73,-3.23,33.79,40.17,9.34,STAND
7.572696686,1,0.02,0.15,1.34,1.34,-4.03,33.42,40.3,10.57,STAND
7.680898428,0.97,0.01,0.18,0.73,-0.73,-1.04,33.42,40.06,10.51,STAND
7.791663885,1,0.01,0.17,-1.59,-1.46,1.1,33.78,39.9,9.92,STAND
7.902088642,0.98,0.01,0.17,-1.95,0.85,2.38,33.7,40.09,9.01,STAND
8.0117805,0.99,-0.01,0.17,-4.88,1.04,3.54,34.27,39.53,11.28,STAND
8.120922565,0.98,-0.01,0.16,-10.68,2.69,4.64,33.76,39.18,10.49,STAND
8.231026649,0.91,0.19,0.13,-16.11,0.98,1.46,33.53,39.05,10.45,STAND
8.342715502,1.08,0.14,0.14,-38.39,12.33,1.95,34.48,38.16,10.16,STAND
8.452005625,0.95,0.17,0.05,-75.99,-0.43,-19.41,33.59,38.01,6.54,STAND
8.561892748,0.98,-0.06,0.06,-47.97,4.27,-17.64,33.3,37.71,5.08,STAND
8.671871901,1.11,-0.07,0.09,-31.8,5.13,-3.05,32.82,37.66,2.48,STAND
8.782570124,0.93,-0.07,0.07,-6.29,-4.76,1.65,32.18,37.08,1.12,STAND
8.892043114,0.99,-0.14,0.08,4.15,-6.41,1.71,32.58,36.89,2.11,STAND
9.003781796,0.94,0.08,0.13,1.04,0.98,7.93,32.8,36.85,1.23,STAND
9.113092661,1.13,0.2,0.11,-21.18,15.32,25.21,33.13,35.69,1.42,STAND
9.223237514,0.87,0.19,0.05,-19.29,-22.16,-9.28,33.85,35.05,1.34,STAND
9.333767414,1.1,0.12,0.11,-17.52,0.55,-4.27,33.67,34.02,-0.68,STAND
