Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.11040854454040527,1.01, -0.05, 0.08, -6.47, -4.64, 4.76, 33.44, 38.61, 3.26,
0.11133289337158203,0.99, 0.03, 0.09, -11.23, -8.42, -2.26, 33.09, 37.93, 4.41,
0.11233258247375488,0.99, -0.00, 0.12, -2.75, -5.92, 1.95, 32.60, 37.76, 3.80,
0.11233258247375488,0.98, -0.00, 0.12, -0.37, -3.05, 1.04, 32.47, 38.01, 2.66,
0.11333298683166504,0.99, 0.00, 0.13, -4.58, -0.06, 0.49, 33.03, 38.02, 2.87,
0.11333298683166504,1.00, 0.01, 0.13, -4.52, 1.10, 0.37, 33.02, 37.40, 2.59,
0.11433243751525879,0.99, 0.01, 0.12, -4.03, 2.01, -1.71, 33.18, 37.51, 1.59,
0.11533260345458984,1.00, 0.01, 0.11, -3.91, 3.23, -2.26, 33.36, 37.52, 3.03,
0.11533260345458984,0.99, 0.01, 0.10, 1.89, 3.42, -1.65, 32.87, 37.71, 2.70,
0.1163322925567627,1.00, -0.00, 0.08, 3.72, -2.14, -0.49, 33.81, 37.96, 3.32,
0.1163322925567627,0.99, -0.02, 0.11, 4.46, -7.93, 3.11, 33.08, 37.34, 2.75,
0.11733222007751465,1.00, 0.05, 0.11, 10.62, -2.01, -0.85, 32.76, 38.07, 2.32,
0.1183323860168457,1.00, 0.02, 0.10, 14.77, -2.99, -2.56, 33.01, 38.34, 2.78,
0.1183323860168457,0.99, -0.01, 0.13, 10.50, -0.79, 0.24, 33.06, 39.10, 3.19,
0.11933302879333496,0.99, -0.02, 0.13, -0.24, -1.10, -0.12, 33.37, 39.06, 3.05,
0.11933302879333496,0.99, 0.01, 0.14, -3.72, 1.10, 1.77, 33.23, 38.96, 3.33,
0.12083625793457031,0.98, -0.02, 0.12, -3.42, 4.09, 2.75, 33.26, 38.48, 4.53,
0.12083625793457031,1.05, -0.01, 0.12, 5.92, 6.96, 4.39, 33.94, 38.27, 4.93,
0.1218404769897461,0.98, -0.00, 0.12, 24.48, -3.60, 6.35, 34.09, 38.39, 4.08,
0.12284040451049805,1.01, -0.03, 0.11, 46.69, -4.33, 1.83, 34.12, 38.88, 6.87,
0.12284040451049805,1.02, -0.11, 0.14, 59.20, -10.80, 5.80, 34.17, 39.62, 8.36,
0.12384033203125,0.90, -0.10, 0.11, 44.19, -4.03, 9.34, 34.20, 40.03, 12.57,
0.12484025955200195,1.00, 0.00, 0.14, 59.45, -14.65, 16.72, 33.90, 39.56, 12.52,
0.12484025955200195,0.95, 0.14, 0.23, 67.32, -11.84, 26.25, 35.28, 37.30, 17.85,
0.125840425491333,1.01, 0.17, 0.29, 76.54, -8.61, 17.94, 36.38, 35.13, 18.99,
0.125840425491333,0.95, 0.14, 0.32, 66.22, -11.29, 13.67, 36.85, 33.51, 22.07,
0.12684011459350586,0.91, 0.12, 0.28, 61.83, 12.51, 18.68, 37.13, 30.75, 24.29,
0.1278400421142578,1.01, 0.10, 0.26, 40.53, 16.05, 18.43, 37.99, 28.64, 26.56,
0.12884020805358887,0.95, 0.04, 0.20, 24.35, 13.06, 6.84, 38.11, 26.26, 29.08,
0.12884020805358887,1.00, 0.03, 0.18, 17.58, 19.29, 1.22, 37.54, 24.26, 31.87,
0.12984013557434082,1.00, 0.07, 0.14, 7.08, -0.85, -9.03, 37.95, 24.60, 32.57,
0.13084030151367188,1.02, 0.09, 0.11, 5.62, 10.80, -7.45, 37.67, 25.54, 31.74,
0.13084030151367188,0.98, -0.01, 0.10, -2.20, 11.47, -3.91, 37.59, 25.09, 32.69,
0.13184022903442383,0.98, 0.04, 0.06, -1.04, -1.46, -1.04, 37.05, 26.11, 32.91,
0.13283991813659668,1.01, -0.03, 0.01, -0.98, 3.97, 8.61, 37.21, 25.44, 34.69,
0.13283991813659668,1.02, -0.04, 0.02, -7.63, -6.53, 1.65, 37.38, 25.95, 33.81,
0.13383984565734863,1.04, -0.03, -0.00, 1.77, 1.65, -5.74, 36.77, 25.73, 35.66,
0.1348400115966797,0.92, 0.01, 0.04, 6.59, -2.08, -0.98, 37.18, 26.00, 32.76,
0.1348400115966797,1.06, 0.02, 0.07, -7.51, 0.98, -2.20, 36.28, 25.90, 34.68,
0.13584065437316895,0.94, 0.08, 0.03, -3.36, -2.69, -0.85, 35.88, 26.40, 33.47,
0.1368408203125,0.94, 0.08, 0.09, 26.31, -10.44, 16.05, 36.55, 25.76, 33.45,
0.1368408203125,1.12, -0.00, 0.17, -6.65, -17.27, -6.53, 36.78, 23.75, 33.96,
0.13784050941467285,0.96, 0.02, 0.21, -13.12, -19.59, -15.32, 36.69, 25.12, 31.97,
0.13784050941467285,0.96, 0.01, 0.20, -11.17, -8.85, -6.47, 37.33, 27.14, 30.09,
0.1388404369354248,0.97, 0.03, 0.20, -4.03, -2.26, 0.85, 37.33, 27.28, 29.90,
0.13984060287475586,0.98, 0.01, 0.24, 7.20, -12.76, -0.37, 37.55, 27.34, 29.69,
0.13984060287475586,0.97, 0.00, 0.26, -3.72, -5.25, -0.92, 37.98, 26.54, 28.65,
0.1408402919769287,0.96, 0.01, 0.27, -0.18, 0.98, -0.98, 37.95, 26.81, 29.11,
0.14184021949768066,0.97, 0.00, 0.24, -2.62, 2.08, -1.83, 38.13, 27.09, 29.38,
0.14184021949768066,0.97, 0.02, 0.24, -5.62, 6.84, -0.98, 37.48, 26.95, 29.69,
0.14284038543701172,0.98, 0.02, 0.22, -3.78, -0.37, -0.37, 37.78, 27.39, 30.14,
0.14284038543701172,0.98, 0.02, 0.20, -3.23, 13.24, 0.55, 37.22, 27.22, 30.19,
0.14384007453918457,0.99, 0.00, 0.18, -0.12, 1.95, -0.85, 37.46, 27.67, 29.61,
0.14484000205993652,0.98, 0.01, 0.20, -2.62, 5.37, -0.37, 37.23, 27.27, 29.77,
0.14484000205993652,0.97, -0.01, 0.22, -10.50, 10.25, -4.39, 37.29, 27.27, 30.48,
0.14584016799926758,0.94, -0.00, 0.19, -18.13, 17.15, -4.82, 35.83, 28.59, 30.36,
0.14684033393859863,1.03, 0.02, 0.20, -16.85, 13.00, -1.89, 36.22, 29.24, 30.73,
0.14684033393859863,0.94, 0.05, 0.15, -30.52, 29.05, -1.04, 35.61, 30.04, 31.57,
0.1478440761566162,1.02, 0.08, 0.05, -41.87, 8.97, -3.42, 34.73, 30.93, 31.54,
0.14884400367736816,1.07, 0.03, -0.09, -64.03, 26.92, -2.87, 34.72, 32.98, 29.94,
0.14884400367736816,0.93, 0.00, -0.07, -63.60, -6.23, 2.14, 34.14, 34.94, 29.85,
0.14984440803527832,0.93, 0.01, -0.25, -61.65, -33.08, 2.32, 34.52, 36.80, 24.19,
0.14984440803527832,0.96, -0.08, 0.05, -36.62, -29.85, -26.67, 35.14, 38.18, 21.94,
0.15099143981933594,1.09, -0.13, 0.09, -51.57, -13.37, -35.52, 33.95, 41.33, 19.41,
0.15194153785705566,1.01, -0.19, 0.05, -48.40, 17.27, -28.75, 31.75, 43.47, 16.06,
0.1529402732849121,1.00, -0.22, 0.03, -57.07, 15.26, -7.20, 31.26, 44.21, 13.90,
0.15395069122314453,1.17, -0.11, 0.12, -44.62, -5.00, -2.69, 30.49, 44.12, 11.21,
0.15595245361328125,0.94, -0.09, -0.05, -43.03, -0.12, 7.45, 29.61, 43.32, 8.12,
0.1569507122039795,1.05, -0.08, 0.05, -11.05, 15.50, 22.77, 31.12, 41.16, 9.42,
0.15794968605041504,0.96, -0.06, -0.05, 11.90, 15.44, 6.16, 31.88, 40.98, 8.11,
0.15895891189575195,1.01, -0.05, -0.02, 10.44, 3.91, 6.77, 32.64, 40.70, 10.33,
0.15996193885803223,0.99, -0.04, -0.03, 4.21, -2.81, 4.39, 32.85, 39.84, 10.68,
0.1615767478942871,1.01, -0.02, -0.02, 2.44, -2.56, 4.94, 33.25, 39.61, 11.67,
0.16330981254577637,0.94, 0.01, -0.05, -6.59, 1.34, 4.27, 33.72, 39.00, 10.97,
0.16442179679870605,1.12, 0.06, -0.04, -26.25, 7.75, 10.13, 33.65, 38.10, 11.56,
0.16542768478393555,0.95, 0.05, -0.01, -49.80, 0.43, 10.19, 34.38, 37.23, 9.20,
0.1664273738861084,0.95, 0.06, -0.05, -69.34, 0.43, 9.77, 34.03, 35.03, 7.68,
0.1674203872680664,0.97, 0.13, -0.15, -75.38, 2.26, 3.97, 35.21, 32.95, 4.75,
0.16842174530029297,1.00, 0.04, -0.14, -69.64, 4.82, -5.98, 35.18, 30.51, 1.16,
0.16842174530029297,1.02, 0.05, -0.12, -50.23, 1.83, -3.11, 35.24, 28.52, 0.28,
0.16931772232055664,1.00, -0.03, -0.15, -44.49, -6.53, -7.02, 35.49, 26.57, -0.09,
0.17041993141174316,0.97, -0.04, -0.12, -33.02, -0.73, -5.86, 35.07, 25.59, -1.46,
0.17041993141174316,1.04, -0.05, -0.13, -26.79, -8.12, -10.19, 35.05, 25.13, -2.43,
0.17141389846801758,1.04, -0.07, -0.07, -22.83, -13.98, -9.70, 34.41, 25.16, -3.32,
0.1723325252532959,1.00, -0.09, -0.02, -19.90, -8.61, -7.87, 33.34, 24.29, -4.42,
0.173370361328125,1.00, -0.09, 0.00, -9.52, -6.47, 2.32, 33.75, 24.34, -5.29,
0.1743166446685791,1.00, -0.07, -0.02, -1.59, -6.35, -2.56, 33.50, 23.85, -5.77,
0.1754133701324463,1.00, -0.08, -0.01, 9.28, -5.37, -2.69, 33.00, 24.05, -6.12,
0.1754133701324463,1.00, -0.11, -0.00, 11.41, -1.95, -3.23, 32.91, 24.32, -6.03,
0.17641210556030273,1.00, -0.13, 0.01, 6.59, -1.71, -3.60, 32.69, 24.87, -6.40,
0.17742037773132324,1.00, -0.13, 0.00, 4.88, -2.26, -4.21, 32.71, 25.18, -6.34,
0.17742037773132324,0.93, -0.14, 0.02, -2.14, 1.46, -3.23, 32.24, 26.05, -5.96,
0.17841076850891113,1.02, -0.14, 0.04, -1.77, -1.40, -2.26, 32.41, 26.21, -6.80,
0.1794114112854004,0.96, -0.13, 0.04, -8.73, -26.61, 0.00, 30.55, 25.56, -7.59,
0.1794114112854004,0.98, -0.13, 0.11, -3.78, 0.37, -2.50, 29.92, 25.50, -10.05,
0.18043279647827148,0.99, -0.13, 0.14, -3.30, -14.59, 0.49, 29.92, 24.96, -9.31,
0.1814110279083252,0.99, -0.13, 0.17, -1.10, -14.16, 1.46, 28.55, 25.48, -11.30,
0.1814110279083252,0.96, -0.12, 0.20, -4.52, -26.25, 2.99, 27.47, 25.29, -11.22,
0.18295693397521973,0.97, -0.11, 0.25, -3.23, -17.09, 4.39, 24.69, 24.50, -12.51,
0.18341755867004395,0.95, -0.10, 0.32, -3.17, -26.31, 5.19, 22.42, 24.72, -14.42,
0.1844191551208496,0.89, -0.08, 0.31, 2.14, 20.51, -0.31, 22.42, 24.60, -14.66,
0.18541455268859863,0.91, -0.11, 0.33, 10.80, 36.93, -0.85, 24.84, 24.10, -13.05,
0.18641185760498047,1.00, -0.12, 0.21, 6.10, 60.49, -1.10, 27.95, 24.21, -11.08,
0.1884164810180664,0.97, -0.08, 0.14, 8.00, 56.21, -0.79, 30.71, 24.07, -7.31,
0.18941187858581543,1.01, -0.06, -0.06, 11.60, 41.02, 6.47, 33.37, 24.45, -6.32,
0.1904134750366211,1.01, -0.08, -0.09, 26.25, 8.00, 1.71, 34.33, 25.51, -3.30,
0.19141364097595215,1.04, -0.07, -0.05, 44.01, 5.00, 0.49, 34.46, 26.25, -1.20,
0.19302725791931152,0.96, -0.07, -0.14, 42.05, -3.48, 6.23, 34.30, 28.22, 0.68,
0.19413304328918457,0.93, -0.10, -0.21, 43.76, 31.74, 7.02, 34.69, 29.11, 1.89,
0.19513511657714844,1.05, -0.09, -0.17, 69.95, -2.01, 11.84, 35.67, 30.41, 5.53,
0.1960458755493164,1.04, 0.05, -0.14, 60.00, 5.13, 24.41, 36.23, 30.86, 7.59,
0.19713544845581055,0.93, 0.09, -0.15, 43.82, -67.32, 7.39, 36.25, 30.65, 9.44,
