Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.07114005088806152,0.89, -0.10, -0.15, -0.24, -27.04, 1.89, 34.61, 23.12, 40.20,
0.0722496509552002,1.15, -0.11, -0.04, 26.86, 11.84, -20.81, 34.48, 22.97, 40.04,
0.0722496509552002,0.84, -0.11, -0.03, 14.65, -3.11, -5.25, 33.70, 23.67, 40.22,
0.07325124740600586,0.95, -0.03, -0.01, -3.36, 8.79, -0.79, 33.70, 23.72, 40.77,
0.07425236701965332,1.21, -0.11, -0.01, 23.01, -5.68, -7.26, 33.37, 22.46, 41.72,
0.07425236701965332,1.01, -0.29, -0.02, -10.25, -3.30, -12.02, 34.39, 22.96, 41.58,
0.07425236701965332,0.91, -0.30, -0.16, -9.09, -9.70, 2.50, 34.81, 24.52, 39.60,
0.07585453987121582,0.91, -0.14, 0.00, -2.32, -7.51, 14.77, 34.22, 24.69, 40.59,
0.07585453987121582,0.97, -0.16, 0.04, 4.76, 13.18, 11.96, 35.49, 23.52, 39.53,
0.07696175575256348,0.98, -0.21, 0.09, -0.61, 16.54, 6.23, 35.16, 22.89, 40.22,
0.07696175575256348,1.20, -0.08, -0.02, -29.24, -0.67, 0.12, 34.03, 23.66, 41.46,
0.07796049118041992,0.92, -0.01, -0.11, 13.92, -26.79, 1.46, 34.73, 23.24, 39.67,
0.07896184921264648,1.14, -0.11, -0.05, 31.80, 15.75, -18.55, 35.03, 22.62, 40.38,
0.07896184921264648,0.79, -0.05, -0.02, 14.83, -6.04, -4.94, 34.91, 21.68, 40.83,
0.07996845245361328,0.98, -0.07, 0.01, 3.66, 21.12, -8.36, 33.24, 21.64, 41.70,
0.07996845245361328,1.16, -0.06, -0.10, 18.98, -21.12, -9.46, 33.44, 21.77, 41.76,
0.08096480369567871,1.21, -0.45, -0.03, 5.31, -7.14, -7.75, 34.58, 21.15, 42.48,
